Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/15/24,40.6,42.5,40,40.5,53,25892,1048312.6
10/14/24,38.6,44.3,38.6,42,208,78031,3331331.2
10/11/24,32.6,40.2,32.6,38.6,161,91950,3451834.8
10/10/24,32.1,32.5,32.1,32.2,2,1000,32228.4
10/9/24,32.5,32.5,32.4,32.5,3,400,12995
10/8/24,31.8,31.8,31.8,31.8,3,1300,41340
10/7/24,32.1,32.1,32,32,7,4318,138276
10/4/24,32,33,31.9,32.2,13,2901,93860.2
10/3/24,31.1,32,31.1,32,5,3000,95100
10/2/24,31,31.6,31,31.6,6,6550,204270
10/1/24,30.9,32.5,30.9,31.4,10,2357,74199.8
9/30/24,31.4,32.5,31.4,31.6,3,239,7547.5
9/27/24,31.1,32.5,30.5,31.3,9,2115,66180.8
9/26/24,32,32,32,32,1,592,18944
9/25/24,33.8,33.8,32,32,4,677,21844
9/19/24,30,31,30,30.5,3,199,6069
9/18/24,29.1,30.9,29.1,30.5,3,123,3755.3
9/13/24,29,29.8,29,29.8,3,480,14184
9/12/24,30.4,30.4,30.4,29.3,1,1,30.4
9/10/24,29.5,29.6,29,29.3,11,1043,30574.6
9/9/24,29.4,29.6,29.4,29.8,2,60,1774
9/6/24,29.8,30,29.8,29.8,4,1120,33380
9/5/24,30,32.3,29.4,30,5,2487,74146.2
9/3/24,30.4,30.4,28,28.6,8,1000,28606.8
8/30/24,30.5,30.5,30.5,30.1,1,1,30.5
8/29/24,32.9,32.9,32.9,30.1,1,10,329
8/28/24,30.5,30.5,30.1,30.1,5,1500,45150.4
8/27/24,30.5,30.5,30.5,30.1,2,99,3019.5
8/26/24,30.1,30.1,30.1,30.1,2,100,3010
8/23/24,30.1,31,30.1,30.1,7,1001,30131
8/22/24,30.3,30.3,30,30.1,12,2263,68119.3
8/21/24,30.8,30.8,30.1,30.3,32,3246,98397.4
8/16/24,31.3,31.3,31.3,31.3,4,291,9108.3
8/15/24,31.3,32.2,31.3,32,3,1351,43291.3
8/14/24,33.1,33.7,33,33,16,2493,83173.9
8/13/24,33.8,33.9,31.7,33,12,2908,97119.8
8/12/24,30.2,30.2,30.2,30.2,3,851,25700.2
8/9/24,31.7,31.7,31.5,31.5,2,498,15687.2
8/8/24,31.5,31.5,31.5,29.7,1,4,126
8/5/24,31.9,31.9,29.6,29.7,7,675,20058.9
8/2/24,31,31.6,31,31.6,14,2129,66659
8/1/24,31,32,31,32,2,1080,33580
7/31/24,30.5,30.5,30,30.1,10,1001,30175.8
7/30/24,31,31,30.7,31,9,1186,36763.6
7/26/24,31.5,31.6,31.5,31.5,2,202,6363.2
7/25/24,32.4,32.4,30.2,30.3,16,1513,46249.3
7/24/24,30.5,32.4,30.5,32.4,3,222,7189
7/23/24,31,31,30.5,31,2,253,7841.5
7/22/24,32.6,32.6,30.5,30.5,2,500,15252.1
7/19/24,31.1,33,30.2,30.4,15,5650,174347
7/18/24,31.1,31.1,31.1,31.1,1,200,6220
7/17/24,31.1,31.1,31.1,31.1,3,1200,37320
7/16/24,31.1,31.1,31.1,31.1,2,700,21770
7/15/24,31.3,33.6,31.3,32,8,2368,78799.5
7/12/24,31.7,31.7,30.5,30.5,4,573,17536.1
7/11/24,30.5,30.5,30.5,30.5,1,600,18300
7/10/24,31.7,31.7,31.7,31.7,1,100,3170
7/9/24,31.1,31.1,30.6,30.7,8,1501,46491.3
7/8/24,31.5,31.5,31,32,4,41,1281.7
7/5/24,32,32,32,32,4,1300,41600
7/2/24,32,32,32,32.6,1,20,640
6/28/24,32,33,31.5,32.6,11,8323,268104.5
6/27/24,31,32,31,31.5,2,6,191
6/26/24,31.5,32.1,31.5,31.5,5,137,4316.6
6/24/24,32.4,32.4,32.4,32.4,3,105,3402
6/20/24,32.3,32.3,30.5,30.6,9,1684,51577.2
6/19/24,31,31,30,30.1,10,1802,54305.4
6/18/24,32.1,32.8,31,31.1,33,2619,82009.4
6/14/24,32.9,32.9,32.1,32.7,4,126,4125.4
6/12/24,31.4,33,31.4,33,6,2318,75890
6/11/24,30.8,32.8,30.8,31.4,4,422,13251.6
6/11/24,30.8,32.8,30.8,31.4,4,422,13251.6
6/7/24,33,33,32,32.1,19,4300,138310
6/6/24,33.6,33.6,32.5,32.6,15,7986,261295.2
6/5/24,35.5,35.5,33.6,33.6,5,1225,41188.3
6/4/24,33,36,33,33.4,19,9059,305407
6/3/24,33,33,32.1,33,7,309,10190.7
5/31/24,33,33,33,33,10,1023,33759
5/30/24,32.2,33,32.1,32.2,6,504,16229.2
5/29/24,32.5,33,32.2,32.2,9,2612,84110.2
5/28/24,34,34,33.9,34,12,1844,62596
5/27/24,34.5,34.5,33,33.7,9,201,6775.8
5/22/24,33.8,33.8,33.8,33.3,1,1,33.8
5/21/24,33.5,33.7,33.5,33.3,4,11,368.7
5/20/24,30.1,33.5,30.1,33.3,16,5183,165584.5
5/17/24,31.1,33.4,31.1,34.2,2,55,1825.5
5/15/24,34.5,34.5,32.4,34.2,10,5152,176140.7
5/14/24,32.6,33,32.6,33,9,2563,84150.5
5/10/24,32.4,32.7,31.6,32.6,7,1631,53085.4
5/9/24,32.4,32.8,32.4,32.5,6,1120,36427
5/8/24,32.8,32.9,32,32,7,2005,65704.5
5/7/24,32,32.6,31.5,31.6,8,1359,42946.4
5/6/24,32.1,32.1,32,32,3,445,14260
5/3/24,32.1,32.5,31.9,32.4,9,1573,50591
5/2/24,32,32.5,31.5,32,8,2877,91784.4
4/30/24,32.4,32.5,32.4,32.4,3,463,15002.2
4/29/24,32.6,32.7,32,32.4,11,1224,39828.8
4/26/24,32.8,32.8,31.3,32,12,3965,127007.4
4/25/24,33,33,31,31,9,1631,50621
4/24/24,30.3,31.6,30.1,31,10,3399,103268.4
4/22/24,30.1,30.1,30,30.1,8,3301,99230.1
4/19/24,29.5,29.5,29.5,30.2,1,1,29.5
4/18/24,32.9,32.9,29.2,30.2,26,13160,397504.7
4/16/24,30.3,30.5,30.3,30.3,6,729,22098.7
4/15/24,31.1,31.1,30.1,30.3,16,1355,41584.7
4/10/24,31.1,31.9,31.1,31,4,34,1083.8
4/9/24,31,31,31,31,4,1594,49414
4/8/24,31.5,33.5,31,31.2,8,2001,62357.7
4/4/24,31.7,31.7,31.7,31.7,2,639,20256.3
4/3/24,31.6,31.6,31.5,31.5,2,410,12942.5
4/2/24,31.3,31.3,31.3,31.3,4,333,10422.9
4/1/24,30.9,31.2,30.9,31.2,4,1946,60580.8
3/28/24,33.6,33.6,32.5,32.9,23,5702,188846.2
3/27/24,33.5,36.4,33.5,33.5,11,329,11077.1
3/26/24,34.4,36.8,33.5,35.3,14,2162,76239.7
3/25/24,33.4,33.4,33.2,33.3,4,1700,56644
3/22/24,33.1,34.5,33,34.4,10,3551,120114.4
3/21/24,34.5,35.9,33.1,34.5,9,562,19412.3
3/20/24,31.9,37.3,30.2,34.8,92,19831,685196.2
3/19/24,32.3,32.3,30.1,30.1,8,451,13683.3
3/18/24,30,31,30,30,6,2601,78031
3/15/24,31,31.9,31,31,3,311,9641.9
3/14/24,33.4,33.4,29.5,29.5,15,6451,190550.6
3/13/24,33.7,33.9,31.5,33.7,10,58,1914.6
3/12/24,29.9,34.5,29.3,33.7,34,4276,130335.8
3/11/24,29.9,30,29.9,29.9,5,1219,36458.1
3/7/24,29,30,29,29.2,5,1363,39788.7
3/6/24,30,30.1,29,29,4,3600,107060
3/5/24,29,30,29,29.1,8,1345,39075
3/4/24,28.9,29,28.5,28.9,3,1097,31737
3/1/24,28.1,28.1,28.1,28,1,2,56.2
2/29/24,29,29,29,28,2,75,2175
2/28/24,28,28.1,28,28,10,1853,51884.1
2/27/24,28.1,28.1,28.1,28.1,1,100,2810
2/26/24,28,28.2,28,28.1,6,1240,34853
2/22/24,29.8,29.8,28,28.2,27,3467,97812.6
2/21/24,30,30,30,28.6,1,10,300
2/20/24,28.7,28.7,28.6,28.6,3,200,5722.5
2/19/24,29.9,29.9,28.7,29,22,5879,170416.1
2/16/24,29,29,29,29,2,150,4350
2/15/24,29,29,28.1,28.6,6,554,16009.1
2/14/24,29.5,29.5,29.3,29.4,4,503,14777.9
2/13/24,30.5,30.5,29.8,29.8,8,643,19231.4
2/12/24,30,30,30,30,1,100,3000
2/9/24,29.3,31,29.3,29.8,3,251,7431
2/8/24,30.7,30.7,30.7,30.7,1,100,3070
2/7/24,28.9,30,28.9,30,8,496,14878.9
2/6/24,30.9,30.9,30,30,7,1197,35951.4
2/2/24,31,31,29.8,30.9,8,249,7706.2
1/30/24,30.9,32,30.9,31.5,3,193,6082.7
1/26/24,30,33.4,29.6,30,5,1006,30181.6
1/24/24,31,31,31,29.7,3,5,155
1/23/24,30,30,30,29.7,1,2,60
1/18/24,29.7,29.7,29.7,29.7,2,184,5464.8
1/17/24,29.7,31.5,29.7,31.5,9,12,375.4
1/16/24,32.3,32.3,29.1,31.5,6,32,973.1
1/12/24,32.5,32.5,31.5,31.5,4,1105,35311.9
1/11/24,30.8,33.9,30.2,31,11,1242,38528.7
1/10/24,30.1,30.1,30.1,30.1,4,500,15050
1/9/24,30.1,30.2,30.1,30.1,3,248,7470.1
1/8/24,30.2,30.2,30.1,30.1,6,1014,30612.8
1/5/24,30.2,30.2,30.2,30.2,2,161,4862.2
1/4/24,30.2,30.2,30.2,30.2,2,125,3775
1/3/24,30.4,30.4,29.5,30,20,671,20149.9
1/2/24,31,31.5,30.2,30,5,15,460.6
12/29/23,30,30,30,30,3,2000,60000
12/27/23,31.4,31.4,31,31,3,1002,31064
12/22/23,31.5,31.8,30.4,31.4,5,421,13243.8
12/21/23,30.3,30.3,30.3,30.3,2,100,3030
12/19/23,30.6,33.5,30.2,30.6,14,1036,31660.1
12/18/23,31.8,31.8,31.8,31.1,2,3,95.4
12/15/23,31.1,33.9,31,31.1,10,623,19373.6
12/13/23,32.5,32.5,32,32,2,101,3232.5
12/11/23,31,31,31,31,2,10,310
12/6/23,31,31,31,31,2,346,10726
12/5/23,31.8,31.8,31.8,31.8,1,4,127.2
12/4/23,30.8,30.8,30.8,31.8,1,1,30.8
12/1/23,31.1,31.1,31.1,31.8,1,1,31.1
11/30/23,30.6,30.6,30.6,31.8,1,1,30.6
11/29/23,31.8,34.4,28,31.8,4,8,250.4
11/24/23,31.8,31.8,31.8,31.8,2,355,11289
11/22/23,31.5,31.5,31.5,31.7,1,1,31.5
11/21/23,31.7,31.7,31.6,31.7,2,100,3165
11/20/23,32,32,32,32,3,390,12480
11/17/23,32,32,31.5,31.5,3,1000,31750
11/16/23,31.4,33.2,31.4,32,5,533,17116
11/15/23,32.5,32.5,31.1,31.7,7,155,4911.5
11/14/23,35,35,32.5,32.5,12,1363,46125.4
11/6/23,31.7,31.7,31.7,31,1,2,63.4
11/3/23,32.6,32.6,31,31,11,2395,75652.5
11/2/23,32.5,32.5,32.5,32.5,4,739,24017.5
11/1/23,32.6,32.6,31,32.5,6,467,15154.2
10/30/23,32.6,32.9,32.6,32.6,5,705,23013
